timestamp,instance_name,split,method,status,runtime_sec,obj_val,num_vars,num_constrs,num_bin_vars,num_int_vars,max_constraint_violation
2025-09-07 15:25:22,matpower/case118/2017-01-02,train,raw,OPTIMAL,55.090000,4844424.994625,49068,1597536,5832,5832,0.00000000
2025-09-07 15:27:08,matpower/case118/2017-01-05,train,raw,OPTIMAL,51.497000,6167079.101966,49068,1597536,5832,5832,0.00000000
2025-09-07 15:28:57,matpower/case118/2017-01-06,train,raw,OPTIMAL,52.439000,6043528.811815,49068,1597536,5832,5832,0.00000000
2025-09-07 15:30:43,matpower/case118/2017-01-07,train,raw,OPTIMAL,49.491000,6299208.822867,49068,1597536,5832,5832,0.00000000
2025-09-07 15:32:29,matpower/case118/2017-01-08,train,raw,OPTIMAL,51.063000,6384833.162047,49068,1597536,5832,5832,0.00000000
2025-09-07 15:34:17,matpower/case118/2017-01-11,train,raw,OPTIMAL,52.731000,5213619.814083,49068,1597536,5832,5832,0.00000000
2025-09-07 15:36:06,matpower/case118/2017-01-12,train,raw,OPTIMAL,51.634000,4984328.982647,49068,1597536,5832,5832,0.00000000
2025-09-07 15:37:55,matpower/case118/2017-01-15,train,raw,OPTIMAL,52.224000,4815570.136330,49068,1597536,5832,5832,0.00000000
2025-09-07 15:39:45,matpower/case118/2017-01-16,train,raw,OPTIMAL,52.766000,5480572.300569,49068,1597536,5832,5832,0.00000000
2025-09-07 15:41:35,matpower/case118/2017-01-17,train,raw,OPTIMAL,51.716000,5497060.046869,49068,1597536,5832,5832,0.00000000
2025-09-07 15:43:20,matpower/case118/2017-01-18,train,raw,OPTIMAL,46.575000,5393659.533144,49068,1597536,5832,5832,0.00000000
2025-09-07 15:45:00,matpower/case118/2017-01-19,train,raw,OPTIMAL,47.299000,5469032.706635,49068,1597536,5832,5832,0.00000000
2025-09-07 15:46:43,matpower/case118/2017-01-21,train,raw,OPTIMAL,46.435000,5011221.001296,49068,1597536,5832,5832,0.00000000
2025-09-07 15:48:34,matpower/case118/2017-01-22,train,raw,OPTIMAL,51.166000,5191372.832008,49068,1597536,5832,5832,0.00000000
2025-09-07 15:50:24,matpower/case118/2017-01-23,train,raw,OPTIMAL,53.137000,5868275.365160,49068,1597536,5832,5832,0.00000000
2025-09-07 15:52:13,matpower/case118/2017-01-26,train,raw,OPTIMAL,50.482000,5269491.012978,49068,1597536,5832,5832,0.00000000
2025-09-07 15:54:04,matpower/case118/2017-01-27,train,raw,OPTIMAL,52.845000,4828403.541371,49068,1597536,5832,5832,0.00000000
2025-09-07 15:55:53,matpower/case118/2017-01-31,train,raw,OPTIMAL,50.383000,5631243.555296,49068,1597536,5832,5832,0.00000000
2025-09-07 15:57:35,matpower/case118/2017-02-01,train,raw,OPTIMAL,48.977000,5728872.209972,49068,1597536,5832,5832,0.00000000
